segment,cluster_id,cluster_claim,num_texts,error,model_used
Pro-Energy,Pro-Energy_30,Industrial agriculture and livestock production must be fundamentally reformed to address environmental destruction and public health crises.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_32,"Iowa's wind energy leadership has reduced electricity costs, strengthened grid reliability, and driven economic growth.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_33,Federal tax credits for wind and solar energy reduce costs for consumers and strengthen local economies.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_35,State governments prioritize fracking industry profits over public health and local community protections.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_38,Transitioning to renewable energy strengthens the U.S.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_4,The Biden administration's climate policies prioritize political and financial interests over economic stability and fiscal responsibility.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_41,California’s renewable energy infrastructure is both highly effective and underutilized.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_43,Renewable energy is now the most cost-effective source of new power generation.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_45,Renewable energy integration improves grid reliability when paired with modernized infrastructure.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_46,"Battery energy storage systems are essential for creating a reliable, sustainable, and cost-effective energy grid.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_47,Solar energy projects provide substantial economic and social benefits to local communities.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_48,Wind energy development provides critical economic stability and growth for rural communities.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_6,"Alaska must prioritize affordable, reliable, and renewable energy to strengthen its economy and ensure long-term energy security.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_9,Corporate power is being weaponized to silence and punish those who challenge fossil fuel interests.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_1,Individual actions are critical to preserving mangrove ecosystems and their environmental benefits.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_10,Human actions must prioritize the protection of sea turtles and their habitats to ensure their survival.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_11,Current ocean conservation efforts are insufficient to address the escalating threats to marine ecosystems.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_14,Transitioning to electric vehicles is the most effective way to reduce transportation emissions and lower consumer costs.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_16,"Green hydrogen is essential for achieving a sustainable, low-emission energy future.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_17,Sustainable aviation fuel is the key to achieving economic growth and environmental responsibility in the aviation industry.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_18,Renewable and low-carbon fuels like ethanol and renewable natural gas are the most effective way to reduce transportation emissions and improve air quality.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_23,"Indigenous leadership, particularly by women, is the most effective solution to the climate crisis.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_25,Sustained financial contributions to environmental organizations are essential for advancing global climate action and sustainability efforts.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_29,Renewable energy is the necessary and inevitable foundation for a sustainable future.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_3,Transforming the construction industry through carbon-neutral innovations is necessary to prevent catastrophic global warming.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_31,Major corporations are primarily responsible for environmental pollution and its deadly consequences.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_32,"Federal investments in clean energy programs reduce pollution, lower costs, and create jobs.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_34,Project 2025 threatens critical environmental protections and will accelerate climate change.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_35,Fossil fuel companies should be held legally and financially accountable for their role in climate destruction.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_36,Federal policies should prioritize the widespread adoption of electric school buses over alternative fuels.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_37,Investing in sustainable transportation and alternative commuting options reduces pollution and improves public health.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_38,Virginia’s governor should prioritize clean energy and pollution reduction over corporate polluters’ interests.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_39,Reducing methane pollution is the most urgent and effective strategy to protect public health and slow near-term climate warming.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_4,Sustainable fashion is the necessary alternative to fast fashion for reducing environmental harm.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_40,Reliable and affordable renewable energy depends on advancing battery storage technology.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_41,Systemic environmental inequality disproportionately harms marginalized communities through unequal exposure to air pollution.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_42,Humanity must transform its collective values and actions to restore harmony with nature and one another or face systemic collapse.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_43,The Trump administration’s environmental deregulation policies prioritize corporate interests over public health and safety.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_44,States should maintain the authority to set stricter vehicle emissions standards than federal requirements.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_45,"Investing in renewable energy is necessary to prevent economic harm, job loss, and environmental destruction.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_46,"Federal investments in solar energy reduce costs, create jobs, and advance clean energy adoption in communities.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_47,Federal clean energy tax credits benefit the economy and should be supported.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_48,Investing in American-made clean energy creates jobs and strengthens local economies.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_49,"Cutting clean energy tax credits undermines job creation, economic growth, and U.S.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_5,Diverting organic waste from landfills is the most effective way to reduce methane emissions and combat climate change.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_50,Federal clean energy investments create and sustain good-paying jobs while benefiting the broader economy over tax cuts for the wealthy.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_53,"Renewable energy provides greater economic, environmental, and public health benefits for Iowa than fossil fuels.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_54,Renewable energy projects provide financial stability and operational benefits for farmers while preserving agricultural land for future generations.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_56,Switching to solar energy is the most effective way to reduce environmental harm while providing long-term financial benefits.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_57,Renewable energy projects provide significant economic benefits to rural communities.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_58,Effective climate education is essential to preparing students to address the global climate crisis.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_59,Renewable energy projects benefit rural landowners and communities more than traditional land use options.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_6,Coastal cities must prioritize nature-based climate solutions and data-driven policies to effectively adapt to rising sea levels.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_60,Individual and collective efforts to create pollinator-friendly habitats are essential to reversing the decline of pollinator populations and sustaining ecosystems.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_61,"Climate change disproportionately harms human health, particularly for vulnerable populations, and requires urgent systemic action to mitigate its effects.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_62,Individual actions and policy efforts must prioritize immediate and sustained climate action.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_63,Integrating solar energy with farmland significantly improves agricultural sustainability and economic resilience.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_64,Local solar energy projects provide significant economic and environmental benefits to communities.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_65,State-level climate action can still mitigate the worsening climate crisis despite federal opposition to clean energy.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_67,"Human-caused climate change is directly worsening the frequency, intensity, and destructive impact of wildfires.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_69,Climate change demands immediate upgrades to infrastructure and emergency systems to protect vulnerable communities.,5,,mistral-large-2407
Pro-Climate,Pro-Climate_7,"Offshore wind energy is the most effective solution for reducing pollution and transitioning to clean, renewable power.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_8,"Michigan's clean energy transition delivers economic, environmental, and public health benefits.",5,,mistral-large-2407
Pro-Climate,Pro-Climate_9,"Collective action toward sustainability is the most effective way to secure a thriving, eco-friendly future.",5,,mistral-large-2407
Neutral,Neutral_0,"Vermont should elect leaders who will establish a quality, affordable, and sustainable child care system.",5,,mistral-large-2407
Neutral,Neutral_11,"Reducing car dependency improves urban livability, economic vitality, and public health.",5,,mistral-large-2407
Neutral,Neutral_21,Federal investments in technology and infrastructure are driving economic growth and innovation in rural and underserved communities.,5,,mistral-large-2407
Neutral,Neutral_22,Governments must prioritize fiscal responsibility by reducing wasteful spending rather than increasing taxes or mandates.,5,,mistral-large-2407
Neutral,Neutral_3,"Climate change is increasing the frequency and severity of extreme weather events, requiring urgent action to adapt infrastructure and improve disaster response.",5,,mistral-large-2407
