row_index,claim,cluster_id,membership_prob
67,"Under the Trump administration, the Environmental Protection Agency doesn’t seem to care about your health or safety anymore.",15,0.762204755124401
68,The Trump administration is trying to weaken or erase dozens of safeguards that do exactly that.,-1,0.0
69,The lake has problems.,8,1.0
70,Here are 6 common sources of water pollution in our area.,8,1.0
71,"The COP30 Business & Finance Forum and COP30 Local Leaders Forum will bring together leaders across business, finance, academia, civil society, and local governments to mobilize capital, drive innovation, and strengthen resilience on the path to a sustainable economy.",-1,0.0
74,"Solar projects transform retired farmland into a steady, environmentally friendly income stream while keeping the land ready for future use; there’s no noise, no pollution, and monitoring and maintenance ensure the area remains clean; panels allow for openings for small animals and can include features like pollinator prairies; solar is easier on the land compared to farming, which involves chemicals and pesticides.",86,0.6823069876861675
76,"Thanks in part to years of UCS advocacy, California’s Advanced Clean Trucks (ACT) is driving the early adoption of zero-emission trucks (ZETs) and increasing their availability.",-1,0.0
77,Cleaner air starts with everyday actions. Skip the car when you can and your lungs and the planet will thank you.,40,0.5779046056401308
78,The train currently runs to Windsor with more stops coming soon.,44,1.0
79,Japanese investors build new infrastructure and hire workers to build it and operate it.,-1,0.0
80,"Rising pollution, plastics, and climate change threaten these turtles.",4,1.0
81,"Planting trees and shrubs help slow and soak up storm water before it rushes over paved surfaces, picking up pollutants along the way. By reducing runoff and erosion, plants keep harmful pollution and debris out of our storm drains and ocean.",8,0.8234176253954774
82,We took a deep dive into the key players and risks of a massive project that's raising questions in Doña Ana County.,108,1.0
85,"Signal Hill shows how safe, local energy supports jobs, small businesses, and cleaner air while avoiding unnecessary tanker pollution.",-1,0.0
86,"This dangerous attack would result in more harmful air pollution, driving deadly and costly extreme weather and health impacts, as well as raising insurance and energy costs.",40,0.3524972577500012
88,"Rising temps = rising risks. From health to housing, the climate crisis is hitting hard — especially in NM’s rural & Indigenous communities.",49,0.9918780585385524
90,"Companies who still use REAL fur, like Woolrich, get it from animals killed on fur factory farms or caught in brutal traps and snares in the wild. These traps don’t just kill their intended target—they also maim endangered animals and even people’s pets. Massive fur farms are not only cruel—they also create pollution that endangers waterways and soil health.",31,0.7565598045438829
91,"Over 100 youth, elders, educators, and community members came together for a day of hands-on cleanup, tree planting, and powerful dialogue. This event was a step toward protecting one of Kenya’s most important natural water sources.",8,0.8677053431862035
92,"They do not have a plan to protect you and the people you care about from dangerous pollution, extreme weather events and the worsening climate crisis.",-1,0.0
93,"Electric school buses benefit kids’ health and learning, reduce pollution and can even save schools money.",44,1.0
95,Litter on our streets can get washed into storm drains and flow untreated into our waterways.,8,1.0
96,Attendees will learn how small actions—like cleaning up after pets—can help protect our local water sources.,8,1.0
97,"If this plan works, you can expect more extreme weather, more respiratory illnesses, more air pollution and the EPA will be stripped of its power to regulate polluters.",-1,0.0
98,Fossil fuel pollution is supercharging extreme weather and making us sick. Decades of research shows fossil fuels are dirty and dangerous. Georgia’s Public Service Commission (PSC) wants to keep us reliant on them.,-1,0.0
99,"Pollution from fossil fuels damages children’s lungs and causes asthma attacks. Georgia’s Public Service Commission (PSC) voted to keep burning dirty, expensive, harmful fossil fuels instead of moving to clean energy.",-1,0.0
100,Prenatal exposure to pollution increases the need for ventilators in newborns and lowers children’s IQs. Clean energy protects future generations.,40,0.6902701846207803
101,Air pollution is deadly.,40,0.8112803827976108
102,"Native plants, like kupukupu, have deep root systems that strengthen soil, prevent erosion, and need less water and upkeep.",-1,0.0
104,1700 tons of toxic pollution will be released by Dominion’s gas plant each year.,-1,0.0
105,Just one of Dominion’s gas plants will create as much pollution as driving 5.6 billion miles in a typical car.,-1,0.0
106,"In just five years, I’ve passed 35 bills, including the landmark Freedom to Read Act - which prohibits book bans in Maryland libraries. I helped secure over $170 million in state funding for projects in our community, and helped lead Maryland’s Women’s Caucus to its most successful session in its 60-year history. I am Vice Chair of the Health and Social Services Subcommittee, and have stood up for values by voting to enshrine women's healthcare protections in the Maryland Constitution, to reduce pollution in the Chesapeake Bay, and led efforts to protect libraries and librarians from extremist book bans.",93,1.0
107,Collins is a cancer survivor who lost her son to an asthma attack and her mother to cancer; officials plan to replace Modeste’s residents with massive industrial plants; officials are offering billions in tax breaks and free land to attract a 'MegaPark' industrial complex; the area is currently made up of homes and farm fields; many residents consider the area their home and don't know where they would go if they accepted the buyouts.,87,1.0
109,"'Advanced recycling' not only fails to recycle anything, but it generates highly toxic pollution. With the EPA stepping back from oversight, concerns are growing about exposure to cancer-causing chemicals and long-term risks for communities and industry alike.",5,1.0
110,The Trump administration is eliminating the office responsible for the independent science that underpins nearly all of the EPA’s environmental policies.,15,0.8819860745288078
111,"The Colorado Supreme Court ruled that cities cannot hand out noise permits to private, for-profit venues to bypass statewide noise limits, and the Court made it clear that the Noise Abatement Act protects residents, property values, and quality of life. This ruling sets a precedent that could directly affect the amphitheater project in Colorado Springs, shutting the door on relying on noise permits except for covered exemptions like 4th of July fireworks. Colorado Springs neighborhoods now have stronger legal footing to demand peace and quiet and to stop unchecked noise pollution before it starts.",29,1.0
112,"The Trump administration is attacking the EPA to roll back protections, silence science, and allow more pollution into our communities – all things that are heating up the planet and causing more destructive hurricanes.",15,1.0
113,This is a massive blow to years of progress to keep power plants—the U.S’s second-largest source of climate pollution—from spewing greenhouse gases into the atmosphere. As people across the country face the reality of climate change.,-1,0.0
114,The Trump administration is gutting 31 critical protections that keep our families safe from toxic pollution.,15,0.6373825055469616
115,"President Trump’s agenda includes actions like tearing up public lands for oil drilling, dismantling environmental protections, gutting the EPA, giving handouts to Big Oil, and slashing clean energy programs.",42,0.6494204749862844
116,President Trump wants to put polluter profits before public health.,-1,0.0
117,"For a decade, the Lake George Association's Adirondack Champlain Regional Salt Summit has united scientists, communities and state leaders to protect clean water from road salt pollution.",8,1.0
118,"We need over $100 million to fix our broken and aging sewer and stormwater infrastructure. The thousands of new luxury high-rise units under construction will put enormous strain and extra pressure on our old and failing system. We can’t keep giving new developments a free pass to make hundreds of millions in profits while our sewer and water utility bills, along with our taxes, keep getting hiked up to pay for these upgrades. I’ve already brought over $8 million in direct community benefits as a community candidate.",62,0.7616865027266156
119,Cambridge’s CSOs dump the most raw sewage into Alewife Brook during rain storms.,8,1.0
120,"Michelle Beattie turns ocean plastic into powerful sculptural art confronting the reality of marine pollution in a way you can’t ignore. Each piece is raw, striking, and impossible to look away from exposing the damage we’ve caused and demanding reflection.",5,0.7612546311887126
121,"Plastic pollution is one of the most urgent environmental issues in Zambia’s urban centres. Waste carried through city drainage systems ends up in the Ngwerere River, travelling downstream to the Chongwe and ultimately the Zambezi River. Along the way, it clogs waterways, threatens biodiversity, and disrupts the natural services these river ecosystems provide to local communities. This cleanup aims to remove harmful waste, restore the health of the Ngwerere, and protect the interconnected rivers it feeds.",8,0.902998883675918
122,"Lawsuits are long, hard fights—and they don’t run on outrage. They run on support from kind people like you.",-1,0.0
124,"We’ve heard really difficult stories about boom and bust in the mining industry, but that has never been because of the enforcement of pollution standards.",-1,0.0
126,"A new report shows Pittsburgh schools could save $21 million and cut carbon emissions by 4,600 tons.",26,0.9985892349547372
127,Regulations help keep us all safe.,29,1.0
128,"Sun Day showcases the power of the sun and wind, the energy sources that can power our world without pollution.",-1,0.0
129,New polling shows Marylanders of all political stripes overwhelmingly support offshore wind.,76,1.0
131,"A single uranium pellet generates as much energy as 120 gallons of oil or a ton of coal. The U.S. Department of Energy estimates that the world will use as much as 75% more electricity by the year 2050, partially because of the demands of energy-intensive technologies like AI. In places like Japan and New York the closure of nuclear plants — despite being touted as an environmental victory — has actually led to increased carbon emissions.",1,0.04569862819567126
135,"Air pollution impacts our health, our environment, and our future. The organization fights for healthier air in communities disproportionately burdened by pollution, exposes the worst industrial polluters in Harris County with data, provides low-cost air monitors and real-time alerts, takes legal action against polluters to secure environmental justice funding, and has been building environmental leaders since the 1990s.",40,0.9183806097757155
136,"EDF’s chemical policy lead, Maria Doa, warns that this isn’t just a restructuring, but a strategic assault on independent science.",-1,0.0
138,The 30x30 Progress Tracker is working with partners around the world to protect our ocean.,4,1.0
139,"$400,000 in the Central Iowa Water Quality Study budget was to go to public awareness. It's now gone. The report found that 80% of the nitrate pollution came from agriculture.",-1,0.0
141,Spews methane pollution from New Mexico to Alaska; Racked up nearly $24 million in environmental penalties; Caught releasing methane just ¾ of a mile from elementary schools; Supported trade groups that lobbied to kill the methane emissions fee.,25,1.0
142,"Hilcorp Energy is the country’s #1 methane polluter. Millions in fines for pollution violations. Dozens of methane plumes spotted from space. Harmful emissions on tribal lands and near schools. Ties to the successful campaign to kill the U.S. methane pollution fee. With the methane fee now officially scrapped for the next 10 years, Hilcorp’s excessive emissions just got a free pass.",25,1.0
144,"1️⃣ Sending an e-mail rather than a letter and generally using less paper helps to save valuable resources. 2️⃣ It is better to unplug appliances completely when they are not in use. This not only helps the environment but also saves electricity costs. 3️⃣ Drinking water from a dispenser and from glass bottles can make a big difference. Glass bottles can always be used and can help counteract the high consumption of plastic waste on earth. 4️⃣ You can also reduce your own CO2 footprint through your diet. For example, you can eat vegetarian food more often or choose fixed days of the week when you don't eat meat. 5️⃣ Using public transport or even cycling to work is a real game changer when it comes to reducing pollution. Many employers also offer discounts on public transport tickets.",-1,0.0
145,"This isn’t just another diving trip; it’s a movement to protect iconic marine life, such as hammerhead sharks, tackle plastic waste at its source, and ensure the communities of the Banda Sea thrive alongside the reefs.",4,1.0
146,"I bring my professional background in utilities and energy policy (spanning federal, state, and local levels, both legislative and regulatory) to ensure that Chelsea and Alabama can perform at their best.",-1,0.0
148,"In Miami, Black and Brown neighborhoods breathe pollution while others breathe clean air. That’s environmental racism.",40,0.3524972577500012
149,Investing in people today can have a significant return on investment in the long term.,-1,0.0
151,The climate crisis is putting kids at risk — from heatwaves to air pollution.,-1,0.0
153,"For decades, citizens around the Catawba River Basin have been cleaning up their river, lakes, creeks, and streams to make sure their waterways look beautiful, are safe for swimming and fishing, and are free of pollution.",8,1.0
154,"The MPCA’s public meeting for the draft Keetac permits will be held in Virginia, MN from 6:00-8:30 pm.",109,0.6753788458614199
155,The PERMIT Act would severely weaken the Clean Water Act by gutting several key provisions that protect waterways.,8,1.0
156,"Flooding from Hurricane Erin brought a wave of pollution into the Elizabeth River and other Hampton Roads waterways. Runoff carries trash, debris, chemicals, and other pollutants straight into our waterways.",8,1.0
159,"The PERMIT Act (H.R. 3898) threatens the rivers, lakes, wetlands, and drinking water we all rely on. It puts polluters first and weakens vital protections.",-1,0.0
160,"The Chesapeake Bay and its rivers face tremendous challenges from climate change, pollution, and more.",-1,0.0
163,Your gift to fight climate change will go 3 times as far to fuel emergency action to protect what we can’t afford to lose: our planet.,-1,0.0
164,We’re supporting cities across the world in installing air sensors near schools.,-1,0.0
165,The chloride in road salt can harm aquatic systems and cause damage to infrastructure.,8,1.0
166,Cutting methane pollution is still the fastest way to reduce warming in the short term.,25,1.0
167,The world is lagging behind schedule on dealing with climate pollution.,49,1.0
168,"On May 27, 2025, Hilcorp’s San Juan Gas Plant in Bloomfield, New Mexico was caught by satellite spewing methane into the air at 462 kilograms per hour. Hilcorp has been linked to at least 55 methane plumes visible from orbit.",25,0.3369860435999583
169,"Pollution from the burning of dirty energy sources is warming the planet and making floods, droughts, and other extreme weather events more frequent and severe here in Virginia and across the globe.",-1,0.0
171,Experts warn this rollback could leave communities vulnerable.,-1,0.0
173,"The Clean Water Act of 1972 called for 'fishable, swimmable' rivers by 1983. The Clean Charles Initiative called for a'swimmable Charles' by 2005.",8,1.0
174,All of them are required by law to post Prop 65 signs alerting people to the lead emissions coming from the piston driven planes flying from those airports. They have been breaking the law with this far longer than the Tijuana River was an issue. This County continues to be the 3rd worst county in the US for lead emissions from these airports. It’s your children breathing in that lead.,-1,0.0
175,"Between 2019–2023, U.S. Steel’s Keetac released sulfate-polluted wastewater 299 times over legal limits. This pollution kills wild rice in Hay & Swan Lakes, harms fish, and affects toxic mercury contamination of fish in O’Brien Lake.",-1,0.0
176,The legislation lets big corporations pollute our air and waters and raises costs for everyday families while giving massive tax breaks to the ultra-wealthy and Big Polluters.,43,1.0
178,A USC study found that children living within about 75 meters of a major road were nearly 50% more likely to report asthma symptoms compared to those further away. Soil tests in neighborhoods near Exide showed that 76% of parkways still exceed lead safety thresholds (even after cleanup). CalEnviroScreen places Southeast LA census tracts in the top 90th percentile for pollution burden statewide.,40,0.7419892126974623
179,Many of these centers are powered by fossil fuels and use huge amounts of water and energy in already scarce or overburdened communities.,-1,0.0
180,"Big improvements are headed to Long Island, thanks to Congestion Relief.",44,1.0
182,"The megabill will raise energy costs in Wisconsin by as much as 8% by 2029, kill thousands of jobs, and increase pollution in our communities.",81,1.0
183,"As Nevada bakes from extreme heat, Representative Amodei voted for more pollution and higher energy bills.",71,1.0
184,Trump wants to kill the Endangerment Finding which is the legal and scientific foundation of EPA’s responsibility to limit greenhouse emissions.,15,1.0
185,"A 120-pump Buc-ee’s would bring 40,000 cars, pollution, crime, and the loss of small-town life to Palmer Lake.",44,1.0
186,"Carbon footprint & energy use – some studies show lab-grown meat’s carbon emissions can be worse than beef when you include bioreactor energy; Consumer acceptance – from taste and nutrition to powerful state bans (Texas, Florida, Alabama — 2025), the road to replacing traditional meat is tougher than headlines suggest; Ethical considerations – many companies still rely on fetal bovine serum (FBS) or other animal-derived feeds, raising interesting questions for vegetarians, vegans, halal & kosher eaters.",31,0.774541251835512
188,"Every wave now drags more plastic than shells. Bottles, bags, and fragments float where life once bloomed—turning blue horizons into silent graveyards. The sea, once infinite and free, now suffocates beneath the weight of what we throw away. Every piece of plastic survives centuries, outliving us, outliving generations, whispering of carelessness. The ocean gives us life.",5,0.9913695218909915
189,"City Hall ignored sewage failure warnings so long that ADEM sued Fairhope and a court forced the city to fix the sewer system and stop dumping sewage into the Mobile Bay. Another 50,000 gallons of raw sewage was spilled last week. A $10 million waterfront facelift means nothing if pollution keeps pouring into the Bay. Sewage spills, contractor silt, and Corps dredging have all poured mud and pollution into Mobile Bay.",-1,0.0
192,Metro wants to hear from you to finalize the Comprehensive Climate Action Plan and urge leaders to combat climate change.,14,0.5736831840158816
194,Lawmakers just voted to raise bills and tie North Carolina to dirty energy.,-1,0.0
195,"Families need clean, affordable energy, not a bill that benefits polluters.",73,0.7643012684123015
196,North Carolina lawmakers voted to raise electric bills and lock us into a polluting future. Families pay the price while utilities profit.,-1,0.0
197,S266 will cost families $90 million more each year while giving corporations a discount. It also forces customers to fund polluting power plants that may never be built.,-1,0.0
198,"Our voices can be heard, and changes can be made in our community, our State, and our Country.",104,1.0
199,"Governor Newsom is moving forward with his plan to phase out gas-powered vehicles by 2035, despite it not being approved by voters. He and Attorney General Rob Bonta are also preparing a lawsuit against the federal government to defend California’s emissions rules.",-1,0.0
200,A small circle of billionaires profits off of the messes they’ve created – funneling money that should fund childcare centers tax breaks for the very corporations pouring carbon into the sky.,58,0.8568610164582423
201,The environmental impact of vaping includes polluting waterways and harming wildlife.,-1,0.0
202,"The Greenheart Study found a 17% drop in an inflammatory blood marker linked to a 10% reduction in heart disease, equivalent to 9 years of life, after over 8,000 trees were planted across 4 square miles involving 750 diverse residents.",10,1.0
205,"The rollback is so extreme it would spike air pollution, leading to 12,000 premature deaths and 8.5 million more asthma attacks.",40,0.532472569332016
206,"Nearly 90% of Outstanding Florida Springs are impaired by nitrogen pollution, and pollution in our springs continues to increase.",8,1.0
207,"This horrific legislation would let big corporations pollute our air and water, raise costs for consumers, and allow drilling on public lands/waters, while giving massive tax breaks to big polluters.",43,1.0
210,"Hands-on activities show elementary-level keiki how the storm drain system and the ocean are connected, highlight the importance of keeping storm drains clean, and teach students about the impact of pollution on marine life.",8,1.0
211,Ambition alone isn’t enough; there is a gap between goals and action.,-1,0.0
212,California can’t afford half-measures on climate.,9,1.0
213,Activists say California's law rewards the worst polluters and abusive conditions for animals.,-1,0.0
214,"Vehicle idling in school pick-up and drop-off lines creates air quality pollution that can cause respiratory issues like asthma for kids. Idling is also costly to you, using as much gas every 2 minutes as you would driving one mile.",39,1.0
215,"Children and infants can be more vulnerable than adults to potentially toxic chemicals in clothing. Children are particularly vulnerable to exposure through ingestion, which can lead to a higher transfer of harmful substances from the clothing into their body.",-1,0.0
216,"Sea turtles are a vital link in marine ecosystems, helping to maintain the health of seagrass meadows and coral reefs. Their presence supports biodiversity and ensures the stability of these habitats. Sea turtles are facing severe threats: bycatch in fisheries, overharvesting and illegal trade, habitat loss, and pollution. Populations are drastically reduced from historic levels.",4,1.0
217,"Scientists say yes, and the evidence is everywhere: hotter summers, dirtier air and rising costs for families across the U.S.",35,0.4580368145675184
218,The science is clear: climate pollution endangers our lives and our health.,15,0.24458253350405523
220,"Chemical recycling processes are energy-intensive, generate large quantities of hazardous waste and air pollution that cause cancer and other illnesses, companies struggle with high costs, low output, loss of government subsidies, only nine chemical recycling plants are operating in the U.S. today after four facilities shut down because of technical and financial troubles.",5,1.0
221,The Trump admin's EPA wants to reverse the legal requirement to protect people from climate-busting pollutants like carbon dioxide and methane and let polluters pollute without restriction.,15,0.8592899493993147
222,More than 160 facilities across 40 states – from coal-fired power plants to chemical makers – can now avoid U.S. clean air laws.,29,1.0
225,"A judge ruled that Chemours is boldly violating its pollution permit, putting the Ohio River at risk.",-1,0.0
226,"Diabetes, obesity, and heart disease are on the rise.",7,0.7037653488308082
229,"Overfishing, ocean pollution and warming waters have put blue whales, hammerhead sharks, green sea turtles and more species at risk of extinction. Our team is working to expand protected ocean areas, but our continued work is only made possible by the support of people like you. We’re still 2,674 signers short of our goal to gather signatures from 10,000 conservation supporters before 11:59 p.m.",4,1.0
230,Packaging is made entirely from seaweed. Seaweed is abundant and inherently plastic-like.,5,0.8210380642208172
231,"Sea lions play a vital role in maintaining the balance of marine ecosystems. However, they face growing threats from climate change, pollution, overfishing, and entanglement in plastic waste.",4,1.0
232,1 BILLION plastic bags are used every single day in the U.S.,5,1.0
234,"90% of Congressional staffers say high-volume mail changes how lawmakers vote. The louder we are in their actual offices, the more we can force them to take action.",93,1.0
236,"Only ~50 Rice’s whales remain in the world. They live in a single, unprotected stretch of the Gulf of Mexico. Every day, they are threatened by ship collisions, oil drilling, noise pollution, and plastic & toxic runoff. NOAA has yet to designate their habitat as critical.",4,1.0
237,"For too long, Coloradans have been exposed to toxic pollution, especially communities near highways, factories and oil and gas sites.",-1,0.0
239,"1,000+ South Carolinians have signed the petition for a Community Benefits Agreement. There is $1.29B in incentives, big promises and PR, but no Community Benefits Agreement, no public process, and no clear path for locals.",-1,0.0
240,Progress in transportation has helped to reduce pollution and save lives.,-1,0.0
243,EPA staff keep pollution out of our neighborhoods.,-1,0.0
244,"The U.S. Steel Clairton plant has had a long history of accidents, malfunctions and toxic pollution and has never been sufficiently repaired to prevent further problems. The plant is ancient, built in 1916.",5,0.7155994838093681
246,A new liquefied natural gas export terminal is proposing an expansion that would double its size; neighbors and environmental groups are worried about the project’s safety risks and pollution; neighbors are concerned about the risk of explosions and resulting catastrophic flooding if pipelines explode and breach levees.,-1,0.0
247,"A handful of Donald Trump’s billionaire buddies — Big Oil executives — are raking in massive profits while the rest of us pay the price of rising costs, toxic pollution, and worsening climate disasters. Trump and his authoritarian administration may be happy to watch us suffer as he cracks down on women and immigrants and he attacks our communities.",-1,0.0
249,"Every sea turtle’s journey depends on healthy waters—free from plastic pollution and human threats. At 4ocean Foundation, we’re working to protect marine life through global cleanup efforts, advocacy, and education. When you support our mission, you’re helping to ensure curious creatures like this one can thrive for generations to come.",4,1.0
250,"The ocean feeds billions and sustains local economies around the world - yet it increasingly faces threats from pollution, overfishing and more.",4,1.0
252,Seemingly small changes for our oceans can make a world of difference for our planet and all the creatures that call the seas their home.,4,1.0
253,"Our oceans are under attack like never before. Plastic pollution, climate change, and the threat of new offshore drilling.",4,0.5955073454667221
254,"Our oceans are not for sale. They belong to all of us and to future generations. And today, they need us more than ever.",4,1.0
255,The endangerment finding is one of the most fundamental pillars of climate protection that we have.,49,1.0
257,"Canadian-owned coal mines upstream of the Kootenai River and Lake Koocanusa are putting our clean water and aquatic life at risk with rising levels of toxic selenium runoff. In 2020, the Department of Environmental Quality (DEQ) adopted a site-specific selenium water quality standard for Lake Koocanusa to address the rising selenium pollution. The Lincoln County Board of Commissioners filed a petition to weaken Montana's selenium standard, allowing more pollution into Montana waters and beyond. Montana’s current standard protects aquatic life, Montana’s world-class fishery, and the surrounding communities and Tribes.",-1,0.0
258,"Ward 3 ranks #1 for the most crime incidents in our city. By strengthening community-police relationships, enacting sensible laws, and fostering pride among residents in Ward 3, we will help make Ward 3 a safer place for everyone.",-1,0.0
261,"Cyprus is experiencing significant environmental challenges. Higher temperatures and longer dry spells are putting pressure on our water supply. Wildfires have become more frequent, affecting forests and wildlife. Coastlines are changing due to rising sea levels, and pollution from ships is impacting the cleanliness of our seas and marine life. These changes affect us all.",49,0.9779839580202218
262,The Clean Green Yard Machines Residential Rebate Program provides two flexible options for rebates to San Joaquin Valley residents.,-1,0.0
264,"The Environmental Protection Agency recently announced plans to eliminate its scientific research arm and fire hundreds of scientists. The scientists that study the air we breathe, the water we drink, and the ecosystems we depend on. Their work provides the foundation of climate policies that keep our communities and wildlife safe. Without this work, the EPA will lose its ability to assess the impact of pollution on public health and the environment.",15,0.5989871398388964
267,Still using products with hidden microplastics?,5,1.0
268,The EPA said greenhouse gases are a risk to public health. Scientists and the courts have affirmed it.,15,0.762204755124401
269,The next Governor of Virginia has the power to stop monopoly utilities from building enormous plants right next to the James River.,-1,0.0
