cid,text,Stance,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,bert_topic_keywords,bert_topic_name,lda_topic,bert_topic,final_theme_llm_theme,final_theme_llm_summary,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
bafyreia2c5dgygw5jmc6miozov6xe6iuayqoveys7kz4cgic33ca2dcb7q,"Sweet Potato and Goat’s Cheese Hand Pies – Easy Freezer-Friendly Recipe

https://www.diningandcooking.com/2217802/sweet-potato-and-goats-cheese-hand-pies-easy-freezer-friendly-recipe/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The Independent …",Neutral,Independent investigative journalism,Independent investigative journalism,10,"help, http, big, u, climate",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreiazawiur7s65q2ufqsavavudbizaw62of6wenlh2xgdqnwtbnypbm,"It's simply not sustainable for party leadership to be this out of step with their base. Either theyre going to get removed after primary season, or trump crushes all opposition",Neutral,Fascism’s fatal flaws,MAGA Climate Deception,49,"many, money, cause, people, climate",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreibksv6643iiwa3aexosqzulycybcuy7bwpjp4tt3trelgdolpizsm,"Sometimes I'll make wee hardwood obelisks for body jewlery shops to display their beautiful merchandise on!
#hardwood #bodyjewelry #retaildisplay #bodypiercing #threadlessends",Neutral,Climate legal accountability,Climate legal accountability,67,"make, look, profit, sense, tool","fashion, sustainable fashion, cutt ly, cutt, eco friendly, eco, clothing, sustainablefashion, friendly, shop",29_fashion_sustainable fashion_cutt ly_cutt,,,,,,,,,,,,,,,,,,,,,,
bafyreidwj5zipxvigygbofol5ku7dbqognkiiorpu4zyolbyvy36bspzkm,"Constant traffic noise and pollution, not an ideal site",Neutral,Starry night preservation,Sound's dual impact,81,"pollution, air, city, show, focus","noise pollution, noise, complaints, noise cancelling, speeds, cancelling, urban, actually cares, ve following, cars don",103_noise pollution_noise_complaints_noise cancelling,,,,,,,,,,,,,,,,,,,,,,
bafyreicvrqw6e2ek3jiblaj4hywq77knnuqmjhb3lyevsswetebbynlpri,"The words changed on the sheet glowed green. Giselle noticed the kind expression on the other adventurer shift. It was subtle, but the energy was different. There was also a dimness to her eyes, like her thoughts were slowing down.

She walked by Giselle, shoving her way through. ""Ey, outta my way.""",Neutral,EV transition barriers,Climate unease,62,"environment, less, ev, eye, positive",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreibjj7x5asd4uiakqm3mmutt3jif5puif5qprvwdlphb3bfci5tn4e,"Selenium (male, fox)

Bromine (male, cat)

Krypton (male, flying squirrel)

Rubidium (male, beaver)

#chemistry #elements #science #periodictable #periodictableofelements #oc #art",Neutral,Fossil fuel deception,Science under attack,34,"using, massive, approach, planning, accelerating",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreih2xelinvgffm5cehtef23mp77qg4tktzpuasigdsnt5mp6ygciga,"Hopefully their advice is, ""Your military Tiktok videos are very frightening to NATO service members. How could we possibly fight against such men of steel? If your goal is to cow Europe into submission, you should have your troops spend more time drilling for and producing those.""",Neutral,Fossil fuel deception,Fossil fuel deception,63,"solution, better, carbon, reduce, technology",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreia52izax5vxwhsyvzrv63walafr4laapmtlcophuss4sab7xftnu4,"Who wants to go to @seattle_erotic with me ?!?!

My art will also be in their shop for purchase. I have 10 pieces of Sustainable jewelry that will be showcased along with over 100 other artist!

www.seaf.art
And use code SeeMeAtSEAF for 10% off tickets.

#seaf2025 #eroticart #artist #Seattle",Neutral,Sustainable luxury fashion,Sustainable luxury fashion,27,"away, though, art, watch, mostly","fashion, sustainable fashion, cutt ly, cutt, eco friendly, eco, clothing, sustainablefashion, friendly, shop",29_fashion_sustainable fashion_cutt ly_cutt,,,,,,,,,,,,,,,,,,,,,,
bafyreiep34d2cje5f3fpedbvdyicyk5onbh4vx3vkfoqt3mlnhfibxbtwm,"And this one from Rexton, New Brunswick, 2013.",Neutral,Starry night preservation,Starry night preservation,89,"green, deal, new, matter, vote","canada, carney, canadian, alberta, canadians, smith, poilievre, cdnpoli, mark carney, ottawa",8_canada_carney_canadian_alberta,,,,,,,,,,,,,,,,,,,,,,
bafyreigu5plh56xflhmec3az7tz5z4quqjhnrq3xmsfclweeof2hplohde,"🌌

#maccadam | #hiitsmoto",Neutral,Starry night preservation,Starry night preservation,0,"research, lack, blame, faster, marine",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreicfjyl5nt72zbcwtvp5ewletednbtfovzumg3nmshmlwxvb6kanwy,"The grand opening of @andre.lounge where every sip tells a story and every draw takes you on a journey.
Your go-to place for superior cigar, whiskey and wine.
@christinahteit 

Domaine Wardy - Bottled Harmony 

#wine #sustainable #vegan #awardwinning #lebanesewine #sinelfil #lebanon #familybusiness",Neutral,Responsible tourism future,Sustainable luxury fashion,26,"earth, used, international, leading, produce",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreigokqu3tn6vnamppcbmog53uttcq5645vee7kn2oxki6g7iydi5am,"THIS!! I don’t know why (well I do know why, but logically speaking) it’s been like this. Even from a business standpoint, there’s no way this is a long term or sustainable thing to do, it will come back and bite at some point 😭",Neutral,Capitalism's climate doom,Climate rollbacks,47,"thing, something, change, climate, actually","sustainable sustainable, isn sustainable, implode, sustainable current, sustainable people, sustainable just, sustainable, mean sustainable, defines, don sustainable",27_sustainable sustainable_isn sustainable_implode_sustainable current,,,,,,,,,,,,,,,,,,,,,,
bafyreig7elearfv5p7cyzxdf3rvmhkbaxfkhouitcpylfep6awjvv2pdca,Fuck the Junk Science Anti-vaxxer Pro-Disease MFKERS,Neutral,Fascism’s fatal flaws,Science under attack,2,"science, protect, rich, republican, order","junk, junk science, rfk, science, rfk jr, jr, debunked, does harm, abortion, drug",45_junk_junk science_rfk_science,,,,,,,,,,,,,,,,,,,,,,
bafyreigsun2xnq46eq7brn5qaoe7rvu7uttyujinwnpawgjfb2xsvwfe4i,"As with everything to do with healthy eating - it's got to be sustainable, tolerable & pleasurable. And your snack there is clearly helping with that",Neutral,EV transition barriers,Climate rollbacks,11,"got, food, business, enough, sustainable",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreigfflsliciwjjdbv4owdolv3k3o3lwt6hruslceaht6ossga4ivvq,"Sustainable rogue's fakery is weak shit I was infinite MAG farming in mid-game with phantasmal doll/auto rakukaja/shield blessing abusing Bardon's escape passive to engage enemy, farm 20-40 MP, escape, and repeat to fuel Debt Collection spam. Became highly useful for getting heroic embodiments later",Neutral,MAGA Climate Deception,Climate rollbacks,1,"go, hope, thousand, dry, type",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreicxj7fyfwvbpfshfr4yf2vts67vjyo4aa7ec4daipqo3u72rzbh5e,"These things are true, but walking or biking to work 30 plus miles away is not really sustainable. Sure 5 percent of people could or would do it. So I’m not totally following your point. Proposing solutions from a small perspective behind a keyboard is what lost Dem voters and got us this nightmare.",Neutral,Science under attack,EV transition barriers,11,"got, food, business, enough, sustainable","transport, transit, bus, sustainable transport, trains, transportation, bike, cycling, public transport, bikes",19_transport_transit_bus_sustainable transport,,,,,,,,,,,,,,,,,,,,,,
bafyreid5ho7mjui5acrshssefev7l3suldj6fernqecd5khcyrcsf3l6ci,Had no clue. I remember there being some controversial aspects to that interview but I didn't know he had found a way to make it sustainable.,Neutral,Water resilience,Sustainable luxury fashion,67,"make, look, profit, sense, tool",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreicbomhnk52xxbt3xvqm2zl2sh5tvsfroruobokcjdzsym63f2e6nq,We have no time to waste in opposing the worst of President Trump's Cabinet nominees with respect to science and the role it should play in keeping us safe. Urge your senators to vote NO on the 'Junk Science Six.' act.ucsusa.org/4h7mvys,Neutral,Science under attack,Science under attack,63,"solution, better, carbon, reduce, technology","junk, junk science, rfk, science, rfk jr, jr, debunked, does harm, abortion, drug",45_junk_junk science_rfk_science,,,,,,,,,,,,,,,,,,,,,,
bafyreidm4hwzokmxbcjkqxr5s35hbu26jz3w7bsolrjdkzzaau7ijahcr4,"On December 9th, 2021, NASA launched the IXPE satellite, the first to measure X-ray polarization from cosmic sources like black holes and neutron stars. This mission advances astronomy, offering insights into energy phenomena and astrophysical processes.

#StayCurious #Skystorians #DiveIntoDiscovery",Neutral,Climate rollbacks,Starry night preservation,60,"think, never, start, live, trying",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreibnptxoauikzfv7ayk277yonx6ppkrvs7mhnanloucoozcpttl7om,"To spare a few seconds’ effort, this is at Wikipedia is a start ⬇️

That’s a (very) polite take. Away from Wikipedia you’ll see much stronger language from experts about this.

I sincerely hope he doesn’t get the role.

Source: en.wikipedia.org/wiki/Great_B...",Neutral,Oil's Deceptive Greed,Independent investigative journalism,65,"billion, fucking, subsidy, lol, room","doesn believe, believes, donald, trump, change hoax, donald trump, doesn, thinks, believes climate, hoax",2_doesn believe_believes_donald_trump,,,,,,,,,,,,,,,,,,,,,,
bafyreicac5wlgqozm2sr6ykghgvyffirycriie2d5j2qraybmecxbnb4wm,😃 The sustainable cannabis entrepreneur and the gay farmer … but after that a toss-up of tossers …,Neutral,Independent investigative journalism,Independent investigative journalism,11,"got, food, business, enough, sustainable",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreickmozjm4wrpkmxhemy5egfsufn7ch2eqy6eqx4uhr2thekj5ohay,"Overall… I like the Carney Liberal housing plan a lot. I like that it says ""we're going to build homes"". I like the reliance on tax cuts in part two less. I wish some kind of ""sustainable buildings"" verbiage was foregrounded.",Neutral,Independent investigative journalism,Wealth vs. Welfare,47,"thing, something, change, climate, actually",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreiderzwwcmv6xcv24kxb3rd3g5tnprgyxtp5krteigi42yxv44sv5q,"AI Overview

""In the United States, fossil fuel subsidies, including direct and indirect forms, are estimated to be in the billions of dollars annually...""
www.imf.org/en/Topics/cl...",Neutral,Climate rollbacks,Oil's Deceptive Greed,5,"fuel, fossil, industry, stop, company","subsidies, imf, subsidies fossil, trillion, fuel subsidies, fuel subsidy, subsidy, estimates, en topics, skeet",96_subsidies_imf_subsidies fossil_trillion,,,,,,,,,,,,,,,,,,,,,,
bafyreie7zwm5ll4bgrzxkmbyu7olugzgbfiymdqbhs6fq65sond4ibbzwm,"@memfault.com gives developers a more scalable and sustainable process, to accelerate time to market, de-risk product launches, cut development costs, and deliver higher quality products.
Book a demo with them to see how your device reliability needs can be taken care of:  memfault.com/demo-request/",Neutral,Trees for Climate,Climate rollbacks,18,"pay, market, threat, term, fund",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreiawwhbje2vepg3rup5avjgr2rncix6kxwreqtpjlcsnpwiu4rn74a,"Canada's housing crisis is worsening, and traditional solutions aren't enough. Mobile home parks and innovative housing models could provide affordable, sustainable options.
www.wbn.digital/affordable-h...",Neutral,Fossil fuel deception,Fossil fuel deception,14,"weather, home, housing, control, early","canada, carney, canadian, alberta, canadians, smith, poilievre, cdnpoli, mark carney, ottawa",8_canada_carney_canadian_alberta,,,,,,,,,,,,,,,,,,,,,,
bafyreielhlq62nxeki7jmjyzicpolzlg2lnlbo2lluizam2w45wdz5ir6m,"Very much so, the whole lunar-solar period around it is like crackling energy - I get very grounded and yet, more open -- it's as if I can see trails of light when I draw my fingers through night air. Also easier to connect with pulse of the earth. I can stomp the ground and draw the dragon easily",Neutral,Climate unease,Starry night preservation,57,"see, ca, find, old, light","solar, panels, solar energy, solar panels, battery, storage, grid, batteries, solar power, solar panel",0_solar_panels_solar energy_solar panels,,,,,,,,,,,,,,,,,,,,,,
bafyreidqpm7qhidns5heeovo5dbte5qzw4sdwzrls52xzo24ajlr7lv2b4,"It's not that it's a mistake AS MUCH AS it is gonna take more than a year to build someone that hasn't pitched as a starter since 2018. 
It's crazy 
it's NOT sustainable.
How they thought it was going to last all season is crazy No pitch camp in the world can give anyone that kind of sustainability.",Neutral,Starry night preservation,Starry night preservation,39,"always, maybe, full, na, wonder","club, clubs, ground story, independent ground, tech independent, story developing, manchester, player, helps tell, story reproductive",51_club_clubs_ground story_independent ground,,,,,,,,,,,,,,,,,,,,,,
