cid,text,stance
987095996917606,"We’re almost ready to run across the Atlantic — LA <> London — virtually — in support of our ocean with @oceanconservancy 

Here’s how to get started:
1️⃣ Click 'Sign up' and join the Global Running Day community
2️⃣ Pledge your kms on the challenge page
3️⃣ Unlock access to the exclusive Strava club to track your distance

Inside the community, you’ll find:  

🤝 A global community of runners conquering the same challenge  
📅 Daily motivation and check-ins  
📈 Access to expert running & nutrition blogs, training guides, and more  
📲2 weeks FREE access to the @Runna app 
  
🏃‍♀️🏃‍♂️Let’s run for the ocean, for our planet, and for every finish line still to come!

All proceeds go to @oceanconservancy",Pro-Climate
478826091907633,"What’s that rotten egg scent that residents in Brazoria like Debra keep smelling? That’s the Chevron-Sweeney plant. And it doesn’t just make for a bad smell. Residents of Brazoria have faced lasting health problems and our river we fish in has been polluted, impacting it for generations to come. Add your name to say Brazoria residents deserve more.,What’s that rotten egg scent that residents in Brazoria like Debra keep smelling? That’s the Chevron-Sweeney plant. And it doesn’t just make for a bad smell. Residents of Brazoria have faced lasting health problems and our river we fish in has been polluted, impacting it for generations to come. Add your name to say Brazoria residents deserve more.",Pro-Climate
951532953650014,"A cleaner, greener, NYC Ferry! ⛴️

NYCEDC Executive Vice President of Ferry Operations James Wong shares our new sustainability measures aimed at reducing our environmental impact and creating cleaner waterways for the New York City!",Pro-Climate
3201938809983737,"You could get up to $7,500 off a new EV, but only if you act fast. The federal tax credit ends September 30.

This rollback is part of a new push by Trump and Arizona’s GOP delegation to gut clean energy programs.

Make your move before the savings disappear.",Pro-Climate
1006629545008753,The battery storage industry is committed to investing $100 billion in American-made grid batteries. CA is leading the way.,Pro-Climate
395347873353169,"Want to implement clean energy projects in your community? The IRA’s Direct Pay provision can help by providing local governments and nonprofits with cash for clean energy investments! 💰 To learn how you can get 30% back on your investments, register for our webinar with Alex Kate Halvey from the @[100068384958383:2048:U.S. Department of Energy]  ➡️ https://sierraclub.zoom.us/meeting/register/tJwlf-2grDsjG9JKJuvePjusY_6pB5L0FvDi#/registration",Pro-Climate
446293248442316,An emergency brake for our climate: cutting methane pollution is the best thing we can do to stop our planet from boiling. Climate activist Sophia Kianni explains 👇,Pro-Climate
1713249116101657,"Roger Bostwick, president, Kansas State Grange, says, ""Sustainable aviation fuel is a breakthrough innovation that turns crops such as corn and soybeans into a low-carbon alternative to traditional jet fuels. Its use in aircraft not only helps reduce life cycle emissions by as much as 80%, but also creates new markets for our farmers.""",Pro-Climate
3262140623928134,"It’s not too late to join us at the 2025 RENEW Wisconsin Renewable Energy Summit! 🌍🌞 

This Thursday, you can connect with energy leaders, students, advocates, and other stakeholders as we explore how clean energy is empowering Wisconsin’s communities.",Pro-Climate
1303035170743749,"As Illinois moves toward a cleaner, more sustainable energy future, communities like St. Charles face a pivotal decision that could impact their environmental and financial landscape for decades. Currently, St. Charles, along with other municipalities, is bound by a long-term contract with Illinois Municipal Electric Agency (IMEA) that provides 80% of our power from 2 coal plants. The Prairie State coal plant in Illinois is one of the nation's largest coal polluters and is the #1 CO2 polluters in Illinois. This facility not only contributes millions of tons of CO2 annually but also produces dangerous coal ash that threatens water supplies and public health.

This educational event will explore the pressing decision facing St. Charles: extending its contract with IMEA  for 20 more years, potentially locking the city into coal-powered electricity until 2055. Attendees will learn about the environmental and health risks associated with Prairie State, the growing availability of cleaner, more affordable energy alternatives, and the role of technology in shaping a sustainable future.

Together, we’ll explore how St. Charles can lead the way in making forward-thinking decisions that not only protect the environment but also strengthen our local economy. By making informed, thoughtful choices today, we can create a future where clean energy powers our homes, supports our health, and ensures a thriving community for generations to come.

Key Questions to Address:
- Is there a business case for St. Charles to sign a new 20 year contract now, 10 years prior to the effective date?
- How can St. Charles avoid locking into a contract that may not be in the community's best interest long-term?
- What are the environmental and health impacts of continuing to rely on the Prairie State Coal Plant?
- What cleaner, cheaper energy options are available as technology advances?

Join us for this important discussion and learn how St. Charles can lead the way toward a cleaner, healthier energy future for all. This is a chance to ensure the city's energy decisions align with the rapidly evolving energy landscape.",Pro-Climate
2138390039931942,"Kandi Mossett White stood on the land where her ancestors were buried and watched as Energy Transfer bulldozed their graves to make way for the Dakota Access Pipeline. She saw it with her own eyes. The destruction wasn’t “alleged”—it happened. Yet now, a North Dakota jury has ruled in favor of Energy Transfer, awarding them millions in a defamation lawsuit against Greenpeace for saying exactly that.

This isn’t justice. This is corporate power using the legal system to rewrite history. Greenpeace stood with the Standing Rock Sioux to defend sacred land and water. Now they’re being punished for telling the truth.

This case isn’t just about Greenpeace—it’s about silencing anyone who dares to challenge the fossil fuel industry’s destruction of Indigenous lands. If this ruling stands, it could bankrupt one of the world’s leading environmental defenders and set a terrifying precedent for corporate attacks on activists.

Renowned human rights lawyer Steven Donziger—who helped hold Chevron accountable for poisoning Indigenous communities in the Amazon—is fighting back. His team is exposing the deep flaws in this case and mobilizing to defend Greenpeace from this blatant abuse of power.

“This is an abomination,” says Donziger. “It’s not just an attack on Greenpeace—it’s an attack on the entire movement for justice. We must fight back.”

We cannot let fossil fuel billionaires erase the truth. Greenpeace is under attack not because they did anything wrong, but because they did what was right.

Stand with Kandi. Stand with Greenpeace. Stand for the truth.

Donate if you can. Share this message. Make sure the world knows what really happened.

Will you fight back against this corporate assault on justice?",Pro-Climate
7855859464503139,"Homeowners, would you trade 30 seconds for $8,500?

The recently revamped ""2024 Solar Incentive Program"" means you can now have solar panels installed at no cost on your roof, and make a major cut in your energy bills

All you have to do is click the link around this video to find out if you qualify (takes 30 seconds or less)

https://www.lowermyelectricbill.org/s/lmeb-1",Pro-Climate
1384498009234916,"ABOUT THE PRESENTATION
Chris Kuzdas, representing the Environmental Defense Action Fund, will review local community efforts seeking local control and self determination over groundwater supplies across rural Arizona over the last several years, and the barriers communities face in our state legislature. The presentation will feature stories from across the state. He’ll also speak about specific water bills and what we can do moving forward. There will be plenty of time for discussion and questions.

Attend in person or on line.
Zoom Registration here:
https://us02web.zoom.us/meeting/register/uI7KDZmJQ-yaJ_1MRQTY7w?fbclid=IwY2xjawJKlBBleHRuA2FlbQIxMAABHav3-wcSbeVdXNdRF6GAhnlM3odCX8nWPSVzA8SZ7-n6ke3sjuyjn8uVxA_aem_8hsZ6Oi4-kFiK_VU04SfeQ#/registration",Pro-Climate
1696216754438417,"Want to earn international portfolio exposure & help solve the affordable housing crisis? We’re seeking architects, city planners, designers, and innovative thinkers to participate in our latest ideas competition, Decoding Timber Towers.

The challenge asks participants to design residential and mixed use buildings that use mass timber — an engineered wood product that offers a more cost-effective and low-carbon alternative to concrete and steel.

Decoding Timber Towers is open to all participants worldwide with no industry designations or certifications required. Registration is open now until May 2 with final design submissions due Aug. 25, 2025. Register by April 11 for early bird pricing. Read the full competition brief and view past competition winners.

Urbanarium is a registered charitable organization based in Vancouver, Canada, that provides a public forum for the discussion of urban issues.",Pro-Climate
767707455485556,"Tara Sreekrishnan is a leader in climate and education. She understands what we want in the Silicon Valley. Tara Sreekrishnan has a great track record of fighting against the ridiculously high cost of living, and is running for Assembly to lead California in making investments in education, affordable housing, a clean energy future, and a safe climate for us all. Vote Tara for Assembly!,Tara Sreekrishnan is a leader in climate and education. She understands what we want in the Silicon Valley. Tara Sreekrishnan has a great track record of fighting against the ridiculously high cost of living, and is running for Assembly to lead California in making investments in education, affordable housing, a clean energy future, and a safe climate for us all. Vote Tara for Assembly!",Pro-Climate
617649188069255,"Washington County News: Chemours 'boldly' violating pollution permit, putting Ohio River at risk, judge rules. Install news app trusted by millions to stay informed of latest Washington County local news!",Pro-Climate
888105486528420,"🌍✨ Protecting our forests isn't just about trees—it's about our future. From wildfires to floods, deforestation impacts us all. Let's nurture our forests and secure a healthier planet for generations to come. 🌱💚

#ClimateAction #Forestry #SustainableLiving #EnvironmentalProtection #EcoFriendly #ClimateChange #GreenPlanet #ConservationEfforts #Sustainability #GreenFuture #NatureLovers #saveourplanet",Pro-Climate
1522718581757092,🏢 AT&T is enhancing climate resilience in our communities and our network operations.,Pro-Climate
1001001242060192,Big Oil wins again: Trump repealed a pollution rule that could kill 500K jobs and raise gas prices for working people.,Pro-Climate
1606458793419901,"Thank you to the Rhode Island engineers and concerned citizens who endorsed me this week.  

I will bring common sense and practical problem solving to our energy needs. I will prioritize the quality of life and financial well-being of hardworking Rhode Islanders and Americans and the health and beauty of our natural environments over the profit-driven grift of the Renewable Industrial Complex. 

VOTE PATRICIA MORGAN FOR US SENATE!  LET'S WORK TOGETHER TO MAKE THE FUTURE BRIGHT FOR #THELITTLEGUYS",Pro-Climate
1002679971868985,"Louisiana LNG terminal plans massive expansion – and neighbors are fearful 

A new liquefied natural gas export terminal south of New Orleans, already among the world’s largest, is proposing an expansion that would double its size – and neighbors and environmental groups are worried about the project’s safety risks and pollution. 

“It’s a lot of risk. What if this thing explodes?” asked Wilkie DeClouet, a 60-year-old former chemical plant worker who lives in Plaquemines Parish, down the road from the Venture Global Plaquemines LNG terminal on the Mississippi River. “If it explodes, it’s going to be catastrophic.” 

He explained that his community is protected from the Mississippi River by dirt barriers called levees, which are crossed by gas pipelines supplying the LNG terminal. If one of the pipelines exploded, DeClouet worried, “it’ll blow the levee and flood this whole part of Louisiana.”
 
The Federal Energy Regulatory Commission (FERC) is holding community meetings on the proposed expansion of the Plaquemines LNG terminal at 5 p.m. on Aug. 12 at the Belle Chasse Auditorium, at 8398 LA-23, in Belle Chasse, LA; and at 5 p.m. the next day at the Port Sulfur YMCA at 278 Civic Dr., in Port Sulphur, according to a FERC public notice.",Pro-Climate
547772847615862,"I’m committed to expanding access to recreation and wellness for all. Proudly endorsed by the entire DRD board, including incumbent Laura McGalliard, as well as Assemblymembers Greg Wallis and Eduardo Garcia, law enforcement, labor organizations, and community leaders. Together, we’ll focus on expanding access to recreation, fostering community wellness, and ensuring sustainable growth for a vibrant future.",Pro-Climate
511950131717796,"Young voters shifted 20 points to the right in the last election. That’s not just a statistic – it’s a crisis for the future of the Democratic Party. But it’s not too late to win them back.

To do so, we need leaders who not only understand the issues that matter most to this generation – but who are willing to fight for them. To fight for climate action. For gun safety. For affordable education. For economic justice.

We need leaders who they can trust to drive real change – to take bold unapologetic action and challenge the status quo.

I know we can win back every young voter we lost in 2024. But we need a clear plan to make it happen.

That’s where Leaders We Deserve comes in. We are leading the charge, working to elect bold, young progressives to Congress and state legislatures across the nation. Leaders who won’t wait for change to arrive at their doorstep, they create it one vote at a time–and we’re backing them every step of the way.

But we can’t do it alone. We need grassroots support from people like you to get us there. Will you contribute $5 or anything you can right now?",Pro-Climate
1003037161286011,"Santa Fe Workshops collection of free online events, Creativity Continues, features an evening with world-renowned Brazilian photojournalist Victor Moriyama for a presentation on the environmental and sociological impacts of climate change in the Amazon rainforest.

During our evening together, Victor shares stories and insights from his long-term project documenting the violent occupation of the Amazon, shedding light on such issues as deforestation, land grabbing, and the vital role of Indigenous peoples in preserving the biome. His work tells the stories of the people, land, and animals directly impacted by these processes, and sheds light on the political, cultural, and environmental factors at play. Victor also discusses the challenges faced in journalism by those documenting climate change and reflects upon the importance of photographers listening to their inner voice in search of the issues that move us.

Visit the link below to learn more and register for this free online event:
➡️ bit.ly/cc-moriyama-25

Image Credit: Victor Moriyama
@victormoriyama

#sfw25 #santafeworkshops #santafeworkshopsonline #sfwcreativitycontinues #sfwcc #sfwonline25 #photocommunity #photocourse #photographercommunity #photographicworkshop #onlineclasses #onlineclass #onlineeducation #photographyeducation #photoonline #onlineworkshop #photographers #photographycourse #photoworkshop #photography #victormoriyama #climatechange #climatechangephotography #photojournalism #photojournalismworkshop #amazonrainforest #amazonrainforestconservancy",Pro-Climate
1160883552545247,"There’s nothing beautiful about letting corporations run wild and pollute our planet. President Trump’s budget bill takes some huge steps backwards for corporate climate accountability. 

❌ It guts penalties for methane pollution, one of the most dangerous drivers of climate change, with experts estimating that the greenhouse gas is responsible for up to 30% of the current human-induced global warming 

❌ It makes millions more acres of public land vulnerable to coal, oil, and gas drilling, erasing protections that took decades to win 

❌ It strips funding for clean energy, making it even easier for polluting fossil fuel giants to lock in their grip on our future 

Right now, even if the government won’t stand up to corporations, ClientEarth will. Our legal team is committed to holding corporations accountable for a livable planet.",Pro-Climate
2853362145054346,"Sharon Schmeckel, a Wisconsin farmer, shared with us how she found solar energy to be a lifeline for her family farm. Balancing crop and cattle operations, solar has helped her extend the farm’s future while providing steady income and less physical strain. Here’s her story in her own words.👇💬🌾
“I have 40 acres of solar on my farm. We have alternating corn and soy as well as beef cattle. My husband and I were approached for the project 7 years ago and our biggest factor for signing up was economics. Farming isn’t that lucrative but solar panels are. I wanted to extend the viability of my farm - my husband passed away and my son works on the farm but also lost his leg in an accident and is limited in what he can do. This project has allowed us to continue the farm for another generation. Having solar is a lot less work, it saves time, and there’s no big machinery involved.
When the contract was brought to us we had our lawyer go over it. There were some minor things proposed that they agreed to so we were satisfied with the end result. The project is operational now and I’m glad I decided to sign on. I’ve always been pro-renewable energy. I support anything we can do to get off of oil and coal and replace that by making our own clean energy.”
-Sharon Schmeckel, Wisconsin Farmer.",Pro-Climate
