cid,text,stance,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,bert_topic_keywords,bert_topic_name,lda_topic,bert_topic,final_theme_llm_theme,final_theme_llm_summary,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
2473112876421092,"I am officially seeking re-election to the Ogden City Council. 🌆 My vision for Ogden is one of continued progress and collaborative problem-solving. We have made significant strides in areas such as economic opportunity 💰, strategic development 🏘️, and ensuring good governance 🏛️. However, I believe that our city’s future relies on our ability to work together on crucial issues like sustainable growth 🌿, quality housing 🏠, and fostering a thriving workforce 💼. I am committed to maintaining open dialogue and building upon our existing partnerships to create an Ogden where everyone has the opportunity to succeed. Please join me in this endeavor. Learn more about my campaign and vision at https://marciawhite.com/ #OgdenCityCouncil #CommunityCollaboration #MarciaWhite",Neutral,,,,"sustainable, initiative, committed, community, resource","city council, council, city, mayor, ward, alderman, berwyn, public safety, mclean, mclean county",,21.0,1_city council_council_city_mayor,"**""Local civic engagement""**",Pro-childcare candidates,651471551549566.0,Marcia For Ogden City Council,2025-06-09,2025-06-09,2025-06-17,Marcia For Ogden City Council,"I am officially seeking re-election to the Ogden City Council. 🌆 My vision for Ogden is one of continued progress and collaborative problem-solving. We have made significant strides in areas such as economic opportunity 💰, strategic development 🏘️, and ensuring good governance 🏛️. However, I believe that our city’s future relies on our ability to work together on crucial issues like sustainable growth 🌿, quality housing 🏠, and fostering a thriving workforce 💼. I am committed to maintaining open dialogue and building upon our existing partnerships to create an Ogden where everyone has the opportunity to succeed. Please join me in this endeavor. Learn more about my campaign and vision at https://marciawhite.com/ #OgdenCityCouncil #CommunityCollaboration #MarciaWhite",Marcia For Ogden,marciawhite.com,Marcia For Ogden City Council - Re-Elect Marcia White for Local Government City Council. political visionary leader resilient community,"lower_bound: 10000, upper_bound: 14999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.012936},{""age"":""45-54"",""gender"":""male"",""percentage"":0.085029},{""age"":""65+"",""gender"":""male"",""percentage"":0.235029},{""age"":""65+"",""gender"":""female"",""percentage"":0.220058},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001308},{""age"":""55-64"",""gender"":""male"",""percentage"":0.118605},{""age"":""55-64"",""gender"":""female"",""percentage"":0.086047},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00189},{""age"":""45-54"",""gender"":""female"",""percentage"":0.063663},{""age"":""18-24"",""gender"":""male"",""percentage"":0.027907},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001017},{""age"":""35-44"",""gender"":""male"",""percentage"":0.052762},{""age"":""35-44"",""gender"":""female"",""percentage"":0.035174},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000291},{""age"":""25-34"",""gender"":""male"",""percentage"":0.035465},{""age"":""25-34"",""gender"":""female"",""percentage"":0.018605},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001599},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002616}","{""region"":""Utah"",""percentage"":1}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
1262126018147243,"Nathan McLeland is a third-generation oil and gas business owner. He understands the importance of the mineral industry to our city, state, and nation, and will always fight for its future. Vote early from October 8 to November 4, or on Election Day, November 5.",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022177086048051,"Cool Event in Norfolk, VA!  Solar and Green Infrastructure Tour on Sat Oct 5th 2024, 10:00 am - 4:00 pm EDT",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreiegajr3yq6uys4x7nnom5lqrndnk6hy762f5lsvgj2g3fzjhf5xcq,"Energy Dominance? So pump so much oil that the gas at the pump goes down, while oil company profits go down as the margin shrinks? Does that mean that there will be additional subsidies to the oil and gas industry to subsidize operating costs as their margin shrinks? Is this the concept of a plan?",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreid62mwu7bu3att7tpszmwxrp64hqcehx72a7zauvfun6cm3t2ije4,Air pollution reduction zones were going to divide families and stop people visiting graves. None of it happened.,Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreihjx7zhzmqvrg4e27ynle4ezdtqsr2fijsxtjhtbntgankqkulyem,"""Green New Deal"" is sent out to do the work without actually saying what they're going to cut. Which would be a ton of stuff that created jobs. Wish there was an over/under on one of them saying that ""ending Wokeness"" will save $1 trillion.",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538804502226501,"Wondering what #COP29 is all about? With the 2024 UN Climate Change Conference underway, world leaders are gathering to make essential climate decisions. This year’s focus is on finance, highlighting the need for a new global climate funding target.

Watch the video below to learn more about @[61557041335686:2048:COP29 Azerbaijan]!",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreicbfgpk3mlb64ouhrbclylajzz553hmklucvmq7reaxdglg22ixzy,"I don't know the pros and cons of this particular project, but we do need more sources of renewable energy, and we need them now. This shouldn't be controversial. Anything that tends to polarise opinion for/against technologies like wind turbines is deeply counter-productive. They probably have...",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090308649562305,"What 150,996+ Smart Americans Are Doing DIFFERENTLY in 2025 to Keep Their Lights On When The Power Grid Goes Down? President Trump has officially declared a national energy emergency. Executive Order 13XXX warns that the U.S. faces a “precariously inadequate and intermittent energy supply, and an increasingly unreliable grid” that threatens national security. Electricity demand is skyrocketing. Our aging power grid is crumbling. And power outages are becoming more frequent across the country. Even the largest grid operator in the U.S. has admitted it could face massive electricity shortfalls as coal plants are retired faster than new capacity is connected to the grid. What does this mean for you? It’s a wake-up call to get prepared NOW. Because when the lights go out, check out 4Patriots reliable backup power source SPECIAL DEAL to protect your family…",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600010690873335,Let Logan County know that responsible energy development supports economic development. Make your voice heard! www.PositivelyLogan.com/sign-our-petition,Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreihpihbj43modylaopbghlujpil5fm7gptyzz4wihc4wpzdrsv2pua,"POTUS has kept 47 Watch has been busy, today! We've got: — Unleashing American Energy https://47-watch.com/executive-orders/2025-03-04-president-trump-is-unleashing-american-energy/ — Undoing Biden's Economic Damage […] [Original post on mastodon.social]",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202738527887179,"As President Joe Biden’s lone term comes to an end, the administration has unleashed a torrent of executive orders, regulatory decisions, and bureaucratic maneuvers, signaling a deliberate and calculated attempt to hamstring the incoming Trump administration. This flurry of last-minute activity, cloaked under the guise of policy-making, is a blatant effort to entrench Biden’s left-wing agenda and erect roadblocks that will stymie President Trump’s plans to restore economic growth, lower consumer costs, and unleash American energy independence. Among the most egregious of these actions is Biden’s newly announced offshore drilling ban—a sweeping policy decision that will have immediate and long-lasting consequences for energy prices, job creation, and America’s energy independence. Equally disturbing are new regulatory moves, such as the National Institutes of Health’s (NIH) Intramural Research Program Access Planning Policy, a measure that targets intellectual property rights and disrupts the free-market innovation ecosystem. These decisions reveal the Biden administration’s true priorities: empowering bureaucrats and activists at the expense of working families and seniors. The Off …",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011283120543891,"One speaker is really nice... but two speakers are a Latta Bice! ?? Bad puns aside, we were thrilled to welcome @[100063908801140:2048:Representative Stephanie Bice] (R-OK) and Rep. @[100044605651726:2048:Bob Latta] (R-OH) as our Wildcatters Wednesday featured speakers. Oil and natural gas industry members packed the room to hear these legislators share their insights on the current state of the energy industry, legislative developments and the future of energy policy in the United States.",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676224798653341,"In this compelling episode of American Potential, host David From welcomes Congressman Jeff Hurd, a freshman lawmaker representing Colorado’s vast and beautiful Third Congressional District. Congressman Hurd shares his journey from humble beginnings bagging groceries in Grand Junction to earning law degrees, practicing energy law, and now serving in Congress. Drawing on his experience as a small business owner and father of five, Congressman Hurd discusses how bad energy policy acts as a hidden tax on rural Americans—and why reversing those policies is essential to economic opportunity. He outlines his legislative efforts to return the Bureau of Land Management headquarters to Colorado, promote responsible energy development, and fight for rural families who want to stay, work, and raise their children in the communities they love. The conversation also dives into the importance of making the Tax Cuts and Jobs Act permanent. Congressman Hurd explains how those tax cuts have directly impacted working families and small businesses in his district and why allowing them to expire would be a devastating tax hike on the middle class. From energy independence to economic freedom, Congress …",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458731528128571,"Unless you want to see our farmland covered in Chinese Solar Compounds, I am asking for your vote on November 5th. Besides pushing Biden's Build Back Broke Scheme, my Democratic opponent is a PAID LOBBYIST for the Green New Pipe Dream.",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964063177419050,"Columbia County and the Hudson Valley has always been a place of beauty with wetlands, wildlife, and rolling hills. However, an outside energy company wants to build a 267 acre industrial solar project that would replace our beautiful wetlands and scenery with solar panels, service roads, and security flood lights. Click the link and leave a comment saying a solar project doesn’t belong in Columbia County.",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreib6a6z5npvn23gihn5r6ongu3o3ur4hgobyr2n7rfkdrkm3k3q3gu,"UBI will be the next New Deal for the next generation... after the market crashes and the revolution.. If we are to survive... Infrastructure, climate change, healthcare and UBI.",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreiawwhbje2vepg3rup5avjgr2rncix6kxwreqtpjlcsnpwiu4rn74a,"Canada's housing crisis is worsening, and traditional solutions aren't enough. Mobile home parks and innovative housing models could provide affordable, sustainable options.
www.wbn.digital/affordable-h...",Neutral,Fossil fuel deception,Fossil fuel deception,14.0,"weather, home, housing, control, early","canada, carney, canadian, alberta, canadians, smith, poilievre, cdnpoli, mark carney, ottawa",8_canada_carney_canadian_alberta,,,,,,,,,,,,,,,,,,,,,,
bafyreickz5yg5c4v6m63mb5z2cfzq5fmnlzlecjl2foyh2stl7gyqoplga,"Why not ONE damn recount, Harris. 
Why not ONE damn objection, dems. 
Why acting blind & deaf to the Putinesque/Muskian election-stealing elephant in the room, most of you independent ""pro-democracy"" networks. 
Why letting loose a FKN CLIMATE CHANGE DENYING dystopian regime on the World/Planet, USA🤬",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreicbmaztphuj24iulb4tptannrcddkr7ygfp7726cbg3jk6tfkp7ca,"#InflationReductionAct #BipartisanInfrastructureLaw The pause on disbursing funds appropriated through the Inflation Reduction Act and the Bipartisan Infrastructure Law is laid out in a section of a broader executive order on “Unleashing American Energy,” entitled “Terminating the Green New Deal.”",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreiga34mrz5j4sea7s7mcjzwapfrc3cztal4ryyxk545armcg2ngzoi,"MAGA do not understand how statistics work. If one person defrauds welfare, everyone does. If one vaccinated person dies of Covid, vaccinations don’t work. If it snows one day, there’s no such thing as global warming.  If one trans wins a race, all girls are affected.

MAGA be DUMB.",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519767489009448,"""We want to end the Green New Deal scam, and we want fiscal responsibility again in the United States of America. And by ending the 45Q tax credits, it does both of those things,"" says Jon Hansen on this week's episode of the ""Heart of Rural America"" podcast airing on Apple + Spotify.",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreifynzaeofnfmmkpqhe6eujppqrycoey77e4jy5yik3kweo4yzhyxa,"Our country and our world cannot survive four years of this madness. 

It’s not sustainable!

It’s just not!",Neutral,Fascism’s fatal flaws,MAGA Climate Deception,41.0,"year, day, every, time, last","sustainable sustainable, isn sustainable, implode, sustainable current, sustainable people, sustainable just, sustainable, mean sustainable, defines, don sustainable",27_sustainable sustainable_isn sustainable_implode_sustainable current,,,,,,,,,,,,,,,,,,,,,,
705402692419056,"Through our exploration, development and production of oil and natural gas – we’re driving America forward. Discover how we’re strengthening America’s energy future ?",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490405773374548,"First they came after your gas stove, now they are coming for your dishwasher. My bill, the Stop Unaffordable Dishwasher Standards Act, will halt Biden's attempt to replace your appliances with expensive, unreliable junk. Hardworking Americans can't afford Biden's Green New Deal overreach.",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053756599549234,"Grateful for federal support in North Carolina! Thanks to bipartisan efforts, our housing and commercial sectors are thriving. Here's to continued growth and community building! 🏡🌆 #NorthCarolina #BipartisanSupport",Neutral,,,,"sustainable, initiative, committed, community, resource",,,21.0,-1_action_environmental_public_green,"**""Pro-infrastructure investment""**",Pro-infrastructure investment,148829221646733.0,Interstate 11 Coalition,2024-08-02,2024-08-02,2024-08-08,Interstate 11 Coalition,"Grateful for federal support in North Carolina! Thanks to bipartisan efforts, our housing and commercial sectors are thriving. Here's to continued growth and community building! 🏡🌆 #NorthCarolina #BipartisanSupport",Sign Up For Infrastructure Updates Near You!,get.i-11coalition.info,"The I-11 Coalition stands as a collective effort of business, civic, and community leaders united in advocating for the development of Interstate 11 and advancing the future of America's infrastructure. Our mission is to champion robust and sustainable infrastructure that safeguards the economic and...","lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002577},{""age"":""45-54"",""gender"":""male"",""percentage"":0.064433},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002577},{""age"":""55-64"",""gender"":""female"",""percentage"":0.060567},{""age"":""18-24"",""gender"":""male"",""percentage"":0.033505},{""age"":""65+"",""gender"":""male"",""percentage"":0.030928},{""age"":""65+"",""gender"":""female"",""percentage"":0.036082},{""age"":""55-64"",""gender"":""male"",""percentage"":0.055412},{""age"":""25-34"",""gender"":""female"",""percentage"":0.161082},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002577},{""age"":""45-54"",""gender"":""female"",""percentage"":0.110825},{""age"":""35-44"",""gender"":""male"",""percentage"":0.130155},{""age"":""25-34"",""gender"":""male"",""percentage"":0.113402},{""age"":""35-44"",""gender"":""female"",""percentage"":0.150773},{""age"":""18-24"",""gender"":""female"",""percentage"":0.039948},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003866},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001289}","{""region"":""Montana"",""percentage"":0.002571},{""region"":""Maryland"",""percentage"":0.053985},{""region"":""Missouri"",""percentage"":0.006427},{""region"":""New Hampshire"",""percentage"":0.001285},{""region"":""Alabama"",""percentage"":0.006427},{""region"":""Washington, District of Columbia"",""percentage"":0.046272},{""region"":""Florida"",""percentage"":0.041131},{""region"":""Illinois"",""percentage"":0.021851},{""region"":""Iowa"",""percentage"":0.008997},{""region"":""Louisiana"",""percentage"":0.008997},{""region"":""Minnesota"",""percentage"":0.008997},{""region"":""Connecticut"",""percentage"":0.005141},{""region"":""New Mexico"",""percentage"":0.002571},{""region"":""New York"",""percentage"":0.047558},{""region"":""North Carolina"",""percentage"":0.363753},{""region"":""Ohio"",""percentage"":0.017995},{""region"":""Oklahoma"",""percentage"":0.006427},{""region"":""Pennsylvania"",""percentage"":0.033419},{""region"":""South Carolina"",""percentage"":0.024422},{""region"":""Texas"",""percentage"":0.037275},{""region"":""Virginia"",""percentage"":0.052699},{""region"":""Delaware"",""percentage"":0.001285},{""region"":""Colorado"",""percentage"":0.011568},{""region"":""Alaska"",""percentage"":0.003856},{""region"":""Massachusetts"",""percentage"":0.005141},{""region"":""Arizona"",""percentage"":0.005141},{""region"":""Arkansas"",""percentage"":0.003856},{""region"":""California"",""percentage"":0.034704},{""region"":""Georgia"",""percentage"":0.021851},{""region"":""Hawaii"",""percentage"":0.001285},{""region"":""Idaho"",""percentage"":0.001285},{""region"":""Indiana"",""percentage"":0.006427},{""region"":""Kansas"",""percentage"":0.003856},{""region"":""Kentucky"",""percentage"":0.008997},{""region"":""Michigan"",""percentage"":0.01671},{""region"":""Wisconsin"",""percentage"":0.003856},{""region"":""Mississippi"",""percentage"":0.003856},{""region"":""Nebraska"",""percentage"":0.002571},{""region"":""New Jersey"",""percentage"":0.01671},{""region"":""Oregon"",""percentage"":0.002571},{""region"":""Rhode Island"",""percentage"":0.005141},{""region"":""South Dakota"",""percentage"":0.001285},{""region"":""Tennessee"",""percentage"":0.024422},{""region"":""Utah"",""percentage"":0.003856},{""region"":""West Virginia"",""percentage"":0.001285},{""region"":""Washington"",""percentage"":0.010283}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",en
721890750144448,"Michigan lawmakers proposed legislation in June that would impose green energy mandates and carbon-emission standards. But even if the proposed laws were effective at halting Michigan’s CO2 emissions, they would have no impact on the climate — and do great harm to vulnerable Michigan residents. Read more: https://www.michigancapitolconfidential.com/votes/no-michigan-climate-policy-wont-improve-the-weather",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983770099803532,"Last year, Texas oil and gas paid a record $26.3 billion in royalties that fund our roads and schools. But Joe Biden and his D.C. bureaucrats are trying to get in the way with their Green New Deal. Harming our children, our families, and our future. Let’s keep Commissioner Christi Craddick fighting for us and against radical policies that make it harder to make ends meet.",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439121266466627,"#Advertisement feature presented by the World Energy Council 

What’s the Energy Trilemma? 🤔

Learn more about how communities around the world can find the balance when working towards energy transitions. ⚡

#HumanisingEnergy",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462701613429115,"Big tech companies across the United States are struggling to find enough clean energy to power all the data centers they plan to build. Now, some firms are betting on a novel solution: harvesting the heat deep beneath the Earth’s surface to create emissions-free electricity, using drilling techniques from the oil and gas fracking boom.",Neutral,,,,"energy, clean, power, support, job",,,49.0,-1_action_environmental_public_green,"**""Anti-fracking activism""**",Anti-Harris energy attack,407848989230502.0,The Rational Middle,2024-08-27,2024-08-27,2024-08-28,,"Big tech companies across the United States are struggling to find enough clean energy to power all the data centers they plan to build. Now, some firms are betting on a novel solution: harvesting the heat deep beneath the Earth’s surface to create emissions-free electricity, using drilling techniques from the oil and gas fracking boom.",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000869},{""age"":""25-34"",""gender"":""male"",""percentage"":0.05821},{""age"":""55-64"",""gender"":""female"",""percentage"":0.016073},{""age"":""65+"",""gender"":""female"",""percentage"":0.030843},{""age"":""35-44"",""gender"":""male"",""percentage"":0.149001},{""age"":""65+"",""gender"":""male"",""percentage"":0.234144},{""age"":""45-54"",""gender"":""male"",""percentage"":0.180278},{""age"":""55-64"",""gender"":""male"",""percentage"":0.285838},{""age"":""45-54"",""gender"":""female"",""percentage"":0.009557},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001738},{""age"":""25-34"",""gender"":""female"",""percentage"":0.004344},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004344},{""age"":""18-24"",""gender"":""male"",""percentage"":0.009991},{""age"":""35-44"",""gender"":""female"",""percentage"":0.008688},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003041},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002172},{""age"":""18-24"",""gender"":""female"",""percentage"":0.000869}","{""region"":""Alabama"",""percentage"":0.021012},{""region"":""Pennsylvania"",""percentage"":0.026587},{""region"":""Nevada"",""percentage"":0.012864},{""region"":""New Hampshire"",""percentage"":0.001715},{""region"":""New Jersey"",""percentage"":0.012436},{""region"":""New Mexico"",""percentage"":0.01801},{""region"":""New York"",""percentage"":0.033448},{""region"":""North Carolina"",""percentage"":0.021441},{""region"":""North Dakota"",""percentage"":0.00729},{""region"":""Ohio"",""percentage"":0.031732},{""region"":""Oklahoma"",""percentage"":0.023156},{""region"":""Oregon"",""percentage"":0.027873},{""region"":""Rhode Island"",""percentage"":0.001715},{""region"":""Montana"",""percentage"":0.008576},{""region"":""South Carolina"",""percentage"":0.009005},{""region"":""South Dakota"",""percentage"":0.006432},{""region"":""Tennessee"",""percentage"":0.020583},{""region"":""Texas"",""percentage"":0.088765},{""region"":""Utah"",""percentage"":0.009863},{""region"":""Vermont"",""percentage"":0.001715},{""region"":""Virginia"",""percentage"":0.018868},{""region"":""Washington"",""percentage"":0.038165},{""region"":""West Virginia"",""percentage"":0.012864},{""region"":""Wisconsin"",""percentage"":0.020583},{""region"":""Nebraska"",""percentage"":0.009434},{""region"":""Missouri"",""percentage"":0.024443},{""region"":""Alaska"",""percentage"":0.01458},{""region"":""Idaho"",""percentage"":0.012436},{""region"":""Arizona"",""percentage"":0.041166},{""region"":""Arkansas"",""percentage"":0.017581},{""region"":""California"",""percentage"":0.081904},{""region"":""Colorado"",""percentage"":0.019726},{""region"":""Connecticut"",""percentage"":0.00729},{""region"":""Delaware"",""percentage"":0.001286},{""region"":""Washington, District of Columbia"",""percentage"":0.001715},{""region"":""Florida"",""percentage"":0.039451},{""region"":""Georgia"",""percentage"":0.018868},{""region"":""Hawaii"",""percentage"":0.005575},{""region"":""Illinois"",""percentage"":0.024871},{""region"":""Mississippi"",""percentage"":0.011578},{""region"":""Indiana"",""percentage"":0.022727},{""region"":""Iowa"",""percentage"":0.01072},{""region"":""Kansas"",""percentage"":0.021441},{""region"":""Kentucky"",""percentage"":0.024014},{""region"":""Louisiana"",""percentage"":0.023585},{""region"":""Maine"",""percentage"":0.008148},{""region"":""Maryland"",""percentage"":0.006003},{""region"":""Massachusetts"",""percentage"":0.009863},{""region"":""Michigan"",""percentage"":0.042024},{""region"":""Minnesota"",""percentage"":0.016295},{""region"":""Wyoming"",""percentage"":0.008576}","facebook,instagram,messenger",lower_bound: 1000001,en
1991129368001115,"In this episode of The Must Read Alaska Show, host John Quick sits down with Rick Whitbeck, ALASKA State Director for Power The Future, to discuss the impact of the Biden administration on Alaska, the state of Cook Inlet energy, the implications of the Chevron's decision , and whether Rick is hopeful for Alaska's future. With a 35-year career in Alaska, Rick brings a wealth of experience from managing political campaigns and hosting the Power The Future Energy Hour radio program. Tune in for an engaging conversation on Alaska's critical issues. @[100066617826236:2048:Power The Future]",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306916581028343,"Keep America competitive, don’t give our energy strength to China and others, protect American jobs and keep energy costs low. Contact Senator Capito today and thank her for protecting American energy investment and production tax credits!",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678280974901614,Don’t let special interests eliminate the Energy Tax Credit. Stand up for an all-of-the-above approach that keeps Missouri's energy affordable and U.S.-made.,Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreihtq3xa3eqpgnzkwjdamrz26cvgifudqxelmvhb62du5i76v6xpnu,Drill Baby Drill Returns as G20 Drops Fossil Fuel Phase-Out from Final Draft oilprice.com/Latest-Energ...,Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
